{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 4, 'dayOfWeek': 6, 'hour': 16, 'min': 48, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 4, 'dayOfWeek': 6, 'hour': 17, 'min': 38, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 12, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 12, 'min': 47, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 13, 'min': 30, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 14, 'min': 25, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 15, 'min': 10, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 15, 'min': 32, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 16, 'min': 37, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 18, 'min': 2, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 18, 'min': 37, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 19, 'min': 49, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 21, 'min': 3, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 5, 'dayOfWeek': 0, 'hour': 22, 'min': 24, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 8, 'min': 39, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 9, 'min': 31, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 10, 'min': 56, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 11, 'min': 26, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 12, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 13, 'min': 37, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 14, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 15, 'min': 29, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 15, 'min': 51, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 16, 'min': 20, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 17, 'min': 40, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 19, 'min': 7, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 19, 'min': 49, 'available': 0}
